country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
Main,Scotland,Premier League,1994/1995,999,999,999,999,999,999
